,restaurant_cuisine,restaurant_price_range,restaurant_aggregate_rating,restaurant_id,restaurant_name,restaurant_latitude,restaurant_longitude,restaurant_address
175,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
176,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
177,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
178,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
179,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
180,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
181,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
182,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
183,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
184,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
185,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
186,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
187,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
188,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
189,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
190,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
191,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
192,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
193,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
194,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
195,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
196,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
197,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
198,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
199,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
200,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
201,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
202,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
203,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
204,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
205,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
206,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
207,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
208,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
209,"American, Burger",2,4.9,16785398,Shake Shack,40.7587361111,-73.9890138889,"691 8th Avenue, New York 10036"
210,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
211,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
212,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
213,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
214,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
215,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
216,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
217,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
218,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
219,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
220,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
221,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
222,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
223,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
224,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
225,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
226,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
227,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
228,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
229,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
230,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
231,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
232,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
233,American,4,4.3,16761868,Cafeteria,40.7405916667,-73.9980861111,"119 7th Avenue, New York 10011"
